epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1843.66,0.36443,0.35721,0.82215,0.99639,0.97395,0.99352,0.95233,0.27586,0.33157,0.78964,0.000268938,0.000268938,0.000268938
84,1864.83,0.36151,0.35357,0.82519,0.99553,0.97328,0.99352,0.95378,0.27752,0.33215,0.7906,0.000254791,0.000254791,0.000254791
85,1885.33,0.37916,0.36589,0.82866,0.98512,0.97222,0.99264,0.95175,0.28261,0.33411,0.79173,0.000240644,0.000240644,0.000240644
86,1905.61,0.36625,0.35307,0.82289,0.98243,0.97151,0.9931,0.95106,0.29117,0.3394,0.79209,0.000226497,0.000226497,0.000226497
87,1926.05,0.3369,0.34724,0.82334,0.98208,0.97312,0.99365,0.96035,0.28523,0.33415,0.79126,0.000212349,0.000212349,0.000212349
88,1946.56,0.33374,0.34742,0.82089,0.98521,0.97314,0.99414,0.95964,0.27834,0.32927,0.79221,0.000198202,0.000198202,0.000198202
89,1967.03,0.35598,0.34394,0.82148,0.98578,0.97459,0.99365,0.95865,0.27937,0.33474,0.792,0.000184055,0.000184055,0.000184055
90,1987.67,0.33118,0.33571,0.8212,0.98431,0.97684,0.99201,0.95528,0.27601,0.32558,0.79127,0.000169908,0.000169908,0.000169908
91,2007.65,0.30098,0.35146,0.78949,0.98265,0.9796,0.99277,0.95338,0.27608,0.32012,0.79188,0.000155761,0.000155761,0.000155761
92,2027.92,0.30271,0.32864,0.80248,0.98078,0.98254,0.99134,0.95171,0.27727,0.3318,0.79153,0.000141614,0.000141614,0.000141614
93,2048.21,0.29749,0.3216,0.79413,0.98048,0.98272,0.98798,0.95147,0.27874,0.33507,0.79094,0.000127467,0.000127467,0.000127467
94,2068.36,0.28935,0.32048,0.78944,0.9816,0.97913,0.99043,0.95273,0.28028,0.3277,0.79257,0.00011332,0.00011332,0.00011332
95,2088.17,0.29768,0.31957,0.79766,0.98271,0.97846,0.99043,0.9541,0.27947,0.32314,0.79412,9.91726e-05,9.91726e-05,9.91726e-05
96,2107.84,0.29272,0.32013,0.79073,0.98396,0.97768,0.99076,0.94798,0.2786,0.32326,0.79407,8.50255e-05,8.50255e-05,8.50255e-05
97,2127.61,0.30909,0.30686,0.80477,0.98497,0.97677,0.99076,0.95174,0.27938,0.32361,0.79555,7.08784e-05,7.08784e-05,7.08784e-05
98,2147.9,0.27421,0.30236,0.79329,0.98516,0.97704,0.99076,0.95297,0.28071,0.32262,0.79592,5.67313e-05,5.67313e-05,5.67313e-05
99,2168.02,0.30493,0.32345,0.79533,0.97816,0.98458,0.99023,0.95523,0.28105,0.32123,0.79598,4.25842e-05,4.25842e-05,4.25842e-05
100,2188.37,0.27746,0.31433,0.80023,0.97954,0.98457,0.99023,0.95652,0.27892,0.32149,0.79445,2.84371e-05,2.84371e-05,2.84371e-05
